task_id,parent_id,project_name,task_name,status,percentage_completion,date_created,start_date,due_date,date_completed,time_tracked_hours,task_type,complexity_points,priority,blocker_reason,quality_review_status,last_updated_date,predecessor_task_id,assignee_id
T-00012,,Website Redesign - User Experience Overhaul,Risk Assessment - T-00012,in progress,56.8,2024-11-10,2024-11-16,2024-12-15,,6.9,PMO & Coordination,2,Low,,,2025-06-23,,ASS-011
T-00013,T-00012,Q3 Product Feature Launch - AI Integration,Compliance Check - T-00013,Blocked,70.3,2024-09-18,2024-09-25,2024-11-10,,8.9,Legal & Compliance Review,1,High,,,2025-06-23,T-00004,ASS-012
T-00014,T-00012,Customer Onboarding Flow Optimization,Performance Tuning - T-00014,REVIEW,100.0,2024-10-06,2024-10-10,,2024-11-23,,Development (Backend),5,Medium,,Minor Rework,2025-06-29,,ASS-004
T-00015,T-00014,Holiday Marketing Campaign - Social Media Focus,Campaign Launch - T-00015,Review,,2024-10-15,2024-10-21,2024-11-18,2024-11-16,5.7,Marketing & Promotion,2,Low,,Failed QA,2025-06-24,,ASS-011
T-00016,T-00014,Internal Tool Development - Automation Suite,Define Objectives - T-00016,in progress,,2025-03-25,2025-03-28,,,16.7,Strategy & Planning,3,High,,,2025-06-30,T-00006,ASS-007
T-00017,T-00014,Holiday Marketing Campaign - Social Media Focus,Database Schema Update - T-00017,Review,100.0,2025-01-09,2025-01-12,2025-02-26,2025-03-05,28.2,Development (Backend),2,Low,,,2025-07-05,,ASS-011
T-00018,T-00012,Holiday Marketing Campaign - Social Media Focus,Performance Tracking - T-00018,To Do,0.0,2025-02-16,2025-02-19,2025-03-11,,0.0,Marketing & Promotion,1,Low,,,2025-07-02,,ASS-011
T-00019,T-00012,Internal Tool Development - Automation Suite,Frontend Bug Fix - T-00019,Completed,100.0,2025-02-25,2025-02-27,2025-04-19,2025-04-25,25.0,Development (Frontend),3,Low,,Failed QA,2025-06-25,,ASS-003
T-00020,T-00019,Internal Tool Development - Automation Suite,Performance Report - T-00020,Review,100.0,2025-01-24,2025-01-24,2025-02-03,,17.5,Analytics & Reporting,4,high,,,2025-06-30,,ASS-002
T-00021,T-00019,Website Redesign - User Experience Overhaul,Training Material - T-00021,Review,100.0,2025-01-04,2025-01-06,2025-01-22,2025-01-27,8.2,Customer Support Prep,5,Medium,,,2025-07-02,,ASS-006
T-00022,,Customer Onboarding Flow Optimization,Integration Testing - T-00022,todo,0.0,2024-10-14,2024-10-20,2024-11-29,,,QA & Testing,1,Low,,,2025-06-26,,ASS-012
T-00023,T-00022,Internal Tool Development - Automation Suite,Market Research - T-00023,Blocked,52.3,2025-01-26,2025-01-30,2025-03-01,,,Strategy & Planning,4,Critical,Technical Bug Found,,2025-06-23,,ASS-011
T-00024,T-00023,Q3 Product Feature Launch - AI Integration,Review Ad Copy - T-00024,Blocked,33.0,2024-07-24,2024-07-27,2024-10-09,,7.0,Legal & Compliance Review,3,medium,,,2025-06-24,T-00006,ASS-007
T-00025,T-00023,Customer Onboarding Flow Optimization,Data Collection Setup - T-00025,todo,0.0,2025-03-24,2025-03-30,2025-04-18,,0.0,Analytics & Reporting,4,High,,,2025-07-01,T-00024,ASS-009
T-00026,,Internal Tool Development - Automation Suite,Ad Copy Draft - T-00026,To Do,0.0,2025-04-09,2025-04-13,2025-04-25,,,Content Creation,4,High,,,2025-06-24,,ASS-008
T-00027,T-00026,Q3 Product Feature Launch - AI Integration,Performance Report - T-00027,Blocked,19.8,2025-03-30,2025-04-01,2025-05-24,,4.0,Analytics & Reporting,3,Low,,,2025-07-07,,ASS-002
T-00028,T-00027,Holiday Marketing Campaign - Social Media Focus,Blog Article - T-00028,In Progress,84.3,2024-12-22,2024-12-26,2025-01-07,,4.0,Content Creation,2,High,,,2025-07-02,T-00006,ASS-007
T-00029,T-00027,Website Redesign - User Experience Overhaul,Campaign Launch - T-00029,in progress,,2025-03-22,2025-03-26,2025-04-04,,19.2,Marketing & Promotion,3,Critical,,,2025-06-26,,ASS-010
T-00030,T-00027,Internal Tool Development - Automation Suite,Post-Launch Monitoring Setup - T-00030,Review,100.0,2025-03-06,2025-03-06,,,8.7,Deployment & Release,3,High,,,2025-06-30,,ASS-004
T-00031,T-00027,Q3 Product Feature Launch - AI Integration,Dashboard Build - T-00031,Review,100.0,2024-07-26,2024-07-28,2024-08-29,,7.8,Analytics & Reporting,3,Medium,,,2025-06-27,T-00021,ASS-002
T-00032,T-00026,Website Redesign - User Experience Overhaul,Market Research - T-00032,To Do,0.0,2024-12-16,2024-12-19,2025-01-30,,0.0,Strategy & Planning,2,High,,,2025-06-27,,ASS-002
T-00033,T-00032,Q3 Product Feature Launch - AI Integration,Training Material - T-00033,Blocked,54.3,2025-01-29,2025-02-03,2025-02-21,,1.9,Customer Support Prep,2,High,,,2025-06-28,,ASS-010
T-00034,T-00032,Website Redesign - User Experience Overhaul,Contract Approval - T-00034,Completed,100.0,2024-08-22,2024-08-27,2024-10-22,2024-07-23,,Legal & Compliance Review,2,Critical,,,2025-07-07,,ASS-003
T-00035,T-00026,Website Redesign - User Experience Overhaul,User Testing - T-00035,Blocked,,2024-12-25,2024-12-29,2025-02-09,,,Design & UX,4,Medium,Resource Unavailability,,2025-07-05,,ASS-005
T-00036,T-00026,Internal Tool Development - Automation Suite,Blog Article - T-00036,To Do,,2025-02-01,2025-02-01,2025-03-01,,0.0,Content Creation,2,High,,,2025-07-03,,ASS-002
T-00037,T-00036,Customer Onboarding Flow Optimization,Review Ad Copy - T-00037,To Do,0.0,2024-11-21,2024-11-28,2024-12-29,,0.0,Legal & Compliance Review,2,low,,,2025-06-29,,ASS-009
T-00038,T-00036,Holiday Marketing Campaign - Social Media Focus,Unit Testing - T-00038,in progress,33.0,2024-09-13,2024-09-20,,,11.8,QA & Testing,3,Medium,,,2025-06-30,T-00013,ASS-009
T-00039,T-00036,Q3 Product Feature Launch - AI Integration,Stakeholder Sync - T-00039,In Progress,47.7,2024-08-03,2024-08-07,2024-08-23,,5.5,PMO & Coordination,4,High,,,2025-07-01,,ASS-003
T-00040,,Website Redesign - User Experience Overhaul,Support Handoff - T-00040,Completed,100.0,2025-03-10,2025-03-11,2025-04-09,2025-04-15,8.1,Customer Support Prep,3,medium,,,2025-06-27,,ASS-009
T-00041,T-00040,Q3 Product Feature Launch - AI Integration,Dependency Management - T-00041,To Do,0.0,2024-12-28,2024-12-30,2025-02-18,,,PMO & Coordination,3,Medium,,,2025-07-01,,ASS-002
T-00042,T-00041,Q3 Product Feature Launch - AI Integration,Dependency Management - T-00042,Review,100.0,2025-03-03,2025-03-04,,2025-03-19,27.5,PMO & Coordination,1,Critical,,Failed QA,2025-06-29,,ASS-010
T-00043,T-00041,Holiday Marketing Campaign - Social Media Focus,UAT Coordination - T-00043,In Progress,70.7,2025-03-27,2025-04-02,2025-04-15,,13.5,QA & Testing,2,Medium,,,2025-07-04,,ASS-008
T-00044,T-00041,Website Redesign - User Experience Overhaul,Support Handoff - T-00044,completed.,100.0,2024-11-02,2024-11-06,2024-11-29,2024-11-26,17.5,Customer Support Prep,5,Medium,,,2025-06-25,,ASS-004
T-00045,T-00041,Internal Tool Development - Automation Suite,Performance Tuning - T-00045,In Progress,46.0,2024-09-01,2024-09-03,2024-09-11,,20.4,Development (Backend),4,High,,,2025-06-28,,ASS-005
T-00046,,Internal Tool Development - Automation Suite,Integrate API - T-00046,Completed,100.0,2024-12-13,2024-12-17,,2025-01-23,37.5,Development (Frontend),3,Critical,,,2025-07-07,,ASS-003
T-00047,T-00046,Q3 Product Feature Launch - AI Integration,Post-Launch Monitoring Setup - T-00047,In Progress,33.4,2025-04-17,2025-04-20,2025-05-20,,17.3,Deployment & Release,4,Medium,,,2025-07-02,,ASS-003
T-00048,T-00047,Customer Onboarding Flow Optimization,Define Objectives - T-00048,in progress,11.8,2024-07-27,2024-07-29,2024-08-28,,7.9,Strategy & Planning,4,medium,,,2025-06-25,,ASS-006
T-00049,T-00047,Internal Tool Development - Automation Suite,Ad Spend Optimization - T-00049,Completed,100.0,2024-10-26,2024-10-31,2024-12-13,2024-12-10,11.5,Marketing & Promotion,1,Low,,,2025-07-05,T-00037,ASS-006
T-00050,T-00046,Q3 Product Feature Launch - AI Integration,Build UI Component - T-00050,In Progress,46.9,2024-12-21,2024-12-23,2025-01-05,,20.5,Development (Frontend),2,Medium,,,2025-06-29,T-00045,ASS-006
T-00051,,Internal Tool Development - Automation Suite,FAQ Document - T-00051,Review,100.0,2025-04-19,2025-04-19,2025-05-07,,8.7,Customer Support Prep,4,Low,,,2025-06-27,,ASS-004
T-00052,T-00051,Customer Onboarding Flow Optimization,Define Objectives - T-00052,Review,100.0,2024-10-01,2024-10-05,,2024-11-14,,Strategy & Planning,3,High,,,2025-07-07,,ASS-001
T-00053,T-00052,Q3 Product Feature Launch - AI Integration,Social Media Post - T-00053,in progress,67.9,2024-11-13,2024-11-18,2024-11-29,,10.9,Content Creation,5,Critical,,,2025-06-23,,ASS-001
T-00054,T-00051,Website Redesign - User Experience Overhaul,Release Plan - T-00054,REVIEW,100.0,2024-10-11,2024-10-13,,,31.6,Deployment & Release,2,High,,Minor Rework,2025-07-01,,ASS-002
T-00055,T-00051,Customer Onboarding Flow Optimization,Budget Allocation - T-00055,Review,100.0,2025-04-02,2025-04-06,2025-05-31,2025-06-04,,Strategy & Planning,2,medium,,,2025-06-29,,ASS-008
T-00056,T-00051,Website Redesign - User Experience Overhaul,Budget Allocation - T-00056,To Do,,2024-11-24,2024-11-29,2024-12-06,,,Strategy & Planning,2,Medium,,,2025-07-05,,ASS-011
T-00057,T-00056,Customer Onboarding Flow Optimization,Contract Approval - T-00057,Review,100.0,2024-11-13,2024-11-19,2024-11-30,2024-12-09,34.5,Legal & Compliance Review,2,High,,Minor Rework,2025-07-06,,ASS-008
T-00058,,Internal Tool Development - Automation Suite,Contract Approval - T-00058,Completed,100.0,2025-03-15,2025-03-21,2025-04-24,2025-04-20,,Legal & Compliance Review,2,Low,,,2025-06-25,,ASS-009
T-00059,T-00058,Q3 Product Feature Launch - AI Integration,API Endpoint Creation - T-00059,Completed,100.0,2025-04-13,2025-04-14,2025-04-27,2025-04-27,35.6,Development (Backend),1,Critical,,Major Rework,2025-06-27,,ASS-003
T-00060,,Q3 Product Feature Launch - AI Integration,Data Collection Setup - T-00060,Blocked,65.0,2025-03-06,2025-03-10,2025-05-21,,10.4,Analytics & Reporting,1,Medium,,,2025-07-01,,ASS-001
T-00061,T-00060,Q3 Product Feature Launch - AI Integration,Performance Tracking - T-00061,REVIEW,100.0,2025-01-30,2025-02-01,2025-03-07,,6.2,Marketing & Promotion,5,High,,,2025-06-28,,ASS-001
T-00062,T-00061,Internal Tool Development - Automation Suite,Integration Testing - T-00062,blocked!,26.5,2024-09-06,2024-09-09,,,,QA & Testing,5,High,,,2025-07-04,,ASS-009
T-00063,T-00061,Holiday Marketing Campaign - Social Media Focus,Build UI Component - T-00063,To Do,0.0,2025-02-09,2025-02-09,2025-03-04,,0.0,Development (Frontend),1,Critical,,,2025-07-07,,ASS-010
T-00064,T-00061,Internal Tool Development - Automation Suite,Performance Tuning - T-00064,To Do,0.0,2025-04-19,2025-04-20,2025-06-04,,0.0,Development (Backend),1,High,,,2025-06-24,,ASS-007
T-00065,,Internal Tool Development - Automation Suite,Market Research - T-00065,Blocked,76.9,2024-12-17,2024-12-23,2025-01-30,,7.3,Strategy & Planning,3,Medium,,,2025-06-29,,ASS-007
T-00066,,Q3 Product Feature Launch - AI Integration,Campaign Launch - T-00066,In Progress,12.1,2024-12-12,2024-12-19,2025-01-19,,20.4,Marketing & Promotion,2,Medium,,,2025-06-24,,ASS-007
T-00067,T-00066,Internal Tool Development - Automation Suite,Integration Testing - T-00067,blocked!,21.2,2025-02-10,2025-02-15,2025-03-06,,6.2,QA & Testing,5,medium,Design Approval Needed,,2025-07-05,,ASS-001
T-00068,T-00067,Holiday Marketing Campaign - Social Media Focus,Performance Report - T-00068,Completed,100.0,2025-03-23,2025-03-29,2025-05-11,2025-05-19,5.7,Analytics & Reporting,3,Critical,,,2025-07-07,,ASS-004
T-00069,T-00066,Holiday Marketing Campaign - Social Media Focus,Budget Allocation - T-00069,Completed,100.0,2025-03-17,2025-03-23,2025-04-28,2025-04-26,31.1,Strategy & Planning,3,Medium,,,2025-06-27,,ASS-005
T-00070,T-00069,Website Redesign - User Experience Overhaul,Blog Article - T-00070,Blocked,23.6,2024-11-02,2024-11-05,2025-01-13,,3.6,Content Creation,2,Low,,,2025-06-24,T-00066,ASS-011
T-00071,T-00069,Q3 Product Feature Launch - AI Integration,Build UI Component - T-00071,Blocked,51.2,2024-09-04,2024-09-08,2024-11-03,,4.2,Development (Frontend),4,Medium,,,2025-06-30,,ASS-010
T-00072,T-00069,Website Redesign - User Experience Overhaul,Budget Allocation - T-00072,Review,100.0,2025-04-16,2025-04-22,2025-05-27,,8.4,Strategy & Planning,1,High,,,2025-07-02,,ASS-004
T-00073,T-00069,Holiday Marketing Campaign - Social Media Focus,Market Research - T-00073,Blocked,28.8,2024-11-15,2024-11-18,2025-01-07,,7.6,Strategy & Planning,5,High,,,2025-07-05,,ASS-012
T-00074,T-00066,Internal Tool Development - Automation Suite,Compliance Check - T-00074,Blocked,5.9,2024-11-18,2024-11-25,2025-01-08,,4.7,Legal & Compliance Review,3,High,Awaiting Client Feedback,,2025-06-30,,ASS-012
T-00075,,Q3 Product Feature Launch - AI Integration,Stakeholder Sync - T-00075,To Do,0.0,2025-04-14,2025-04-17,2025-05-04,,0.0,PMO & Coordination,3,Critical,,,2025-07-05,,ASS-011
T-00076,T-00075,Customer Onboarding Flow Optimization,Support Handoff - T-00076,To Do,0.0,2024-12-07,2024-12-09,2024-12-26,,0.0,Customer Support Prep,5,Low,,,2025-06-30,,ASS-002
T-00077,T-00076,Website Redesign - User Experience Overhaul,FAQ Document - T-00077,Completed,100.0,2025-01-20,2025-01-25,2025-02-10,2025-02-16,27.6,Customer Support Prep,4,Critical,,,2025-06-27,,ASS-002
T-00078,T-00076,Holiday Marketing Campaign - Social Media Focus,Campaign Launch - T-00078,To Do,0.0,2025-01-09,2025-01-15,2025-02-27,,0.0,Marketing & Promotion,2,Critical,,,2025-06-29,,ASS-011
T-00079,,Internal Tool Development - Automation Suite,Budget Allocation - T-00079,To Do,0.0,2024-08-13,2024-08-18,2024-08-24,,0.0,Strategy & Planning,3,High,,,2025-06-30,,ASS-010
T-00080,T-00079,Q3 Product Feature Launch - AI Integration,Budget Allocation - T-00080,In Progress,100.0,2024-09-06,2024-09-11,2024-09-28,,10.6,Strategy & Planning,4,Critical,,,2025-07-04,,ASS-006
T-00081,T-00080,Customer Onboarding Flow Optimization,Data Collection Setup - T-00081,todo,0.0,2025-01-01,2025-01-01,2025-02-10,,0.0,Analytics & Reporting,5,medium,,,2025-07-02,,ASS-009
T-00082,T-00080,Holiday Marketing Campaign - Social Media Focus,UAT Coordination - T-00082,Blocked,42.2,2024-11-18,2024-11-18,2025-01-15,,0.6,QA & Testing,3,Critical,,,2025-06-27,,ASS-008
T-00083,T-00079,Internal Tool Development - Automation Suite,Build UI Component - T-00083,To Do,0.0,2025-04-05,2025-04-09,2025-05-23,,,Development (Frontend),2,high,,,2025-06-30,,ASS-009
T-00084,T-00083,Holiday Marketing Campaign - Social Media Focus,Support Handoff - T-00084,todo,0.0,2024-07-27,2024-08-01,2024-08-10,,0.0,Customer Support Prep,5,High,,,2025-07-01,,ASS-007
T-00085,T-00079,Q3 Product Feature Launch - AI Integration,Campaign Launch - T-00085,Blocked,48.7,2025-02-09,2025-02-15,2025-04-03,,9.2,Marketing & Promotion,3,Low,,,2025-06-24,,ASS-010
T-00086,T-00085,Q3 Product Feature Launch - AI Integration,Stakeholder Sync - T-00086,todo,0.0,2025-03-10,2025-03-14,2025-05-08,,0.0,PMO & Coordination,2,high,,,2025-07-04,,ASS-006
T-00087,T-00085,Holiday Marketing Campaign - Social Media Focus,Stakeholder Sync - T-00087,blocked!,44.0,2025-03-22,2025-03-27,2025-04-14,,3.8,PMO & Coordination,1,Critical,,,2025-06-23,,ASS-001
T-00088,,Website Redesign - User Experience Overhaul,FAQ Document - T-00088,completed.,100.0,2024-10-11,2024-10-18,,2024-12-11,,Customer Support Prep,5,Critical,,Minor Rework,2025-07-03,,ASS-007
T-00089,T-00088,Holiday Marketing Campaign - Social Media Focus,Contract Approval - T-00089,To Do,0.0,2025-03-13,2025-03-18,2025-05-13,,0.0,Legal & Compliance Review,2,High,,,2025-07-01,,ASS-009
T-00090,T-00089,Q3 Product Feature Launch - AI Integration,API Endpoint Creation - T-00090,In Progress,,2024-08-27,2024-09-01,2024-10-26,,23.7,Development (Backend),5,Medium,,,2025-06-30,,ASS-010
T-00091,T-00089,Q3 Product Feature Launch - AI Integration,Compliance Check - T-00091,Review,100.0,2025-01-20,2025-01-23,2025-02-09,2025-02-19,34.7,Legal & Compliance Review,5,Medium,,,2025-06-30,,ASS-003
T-00092,T-00089,Internal Tool Development - Automation Suite,Training Material - T-00092,in progress,47.4,2025-03-23,2025-03-27,2025-05-20,,2.6,Customer Support Prep,5,Medium,,,2025-07-07,,ASS-001
T-00093,T-00089,Q3 Product Feature Launch - AI Integration,Performance Report - T-00093,Blocked,13.9,2025-04-12,2025-04-17,2025-05-08,,3.4,Analytics & Reporting,5,Medium,,,2025-07-01,T-00062,ASS-012
T-00094,T-00088,Internal Tool Development - Automation Suite,Release Plan - T-00094,Completed,100.0,2025-04-25,2025-04-29,2025-06-10,2025-06-18,27.6,Deployment & Release,3,Low,,Minor Rework,2025-06-23,,ASS-012
T-00095,T-00094,Q3 Product Feature Launch - AI Integration,Database Schema Update - T-00095,To Do,0.0,2024-10-12,2024-10-16,2024-12-03,,,Development (Backend),1,Low,,,2025-06-24,,ASS-005
T-00096,T-00094,Internal Tool Development - Automation Suite,Post-Launch Monitoring Setup - T-00096,Review,100.0,2024-12-15,2024-12-15,2024-12-25,2024-12-28,16.6,Deployment & Release,2,High,,,2025-07-02,,ASS-007
T-00097,T-00088,Q3 Product Feature Launch - AI Integration,Data Collection Setup - T-00097,in progress,31.0,2024-12-27,2024-12-27,,,17.5,Analytics & Reporting,2,high,,,2025-06-24,,ASS-008
T-00098,T-00097,Holiday Marketing Campaign - Social Media Focus,Define Objectives - T-00098,In Progress,85.4,2024-09-05,2024-09-10,2024-09-16,,23.1,Strategy & Planning,3,High,,,2025-07-07,T-00070,ASS-011
T-00099,T-00097,Website Redesign - User Experience Overhaul,Data Collection Setup - T-00099,Review,,2024-08-04,2024-08-07,2024-09-09,2024-09-12,9.5,Analytics & Reporting,5,Critical,,,2025-06-26,,ASS-006
T-00100,T-00097,Customer Onboarding Flow Optimization,User Testing - T-00100,Review,100.0,2024-11-25,2024-11-26,2025-01-19,2025-01-23,30.3,Design & UX,5,Critical,,,2025-06-24,T-00057,ASS-003
T-00101,,Q3 Product Feature Launch - AI Integration,User Testing - T-00101,To Do,0.0,2024-08-24,2024-08-27,2024-09-11,,,Design & UX,1,Critical,,,2025-07-01,,ASS-012
T-00102,T-00101,Holiday Marketing Campaign - Social Media Focus,Ad Copy Draft - T-00102,To Do,0.0,2024-09-27,2024-09-29,2024-11-27,,,Content Creation,4,Critical,,,2025-07-03,,ASS-008
T-00103,T-00102,Customer Onboarding Flow Optimization,Performance Report - T-00103,Blocked,7.9,2024-10-08,2024-10-11,2024-12-21,,12.9,Analytics & Reporting,2,Critical,,,2025-07-07,,ASS-009
T-00104,T-00101,Website Redesign - User Experience Overhaul,Stakeholder Sync - T-00104,in progress,47.9,2025-02-15,2025-02-22,,,5.6,PMO & Coordination,4,Critical,,,2025-06-25,,ASS-011
T-00105,T-00104,Q3 Product Feature Launch - AI Integration,API Endpoint Creation - T-00105,Completed,100.0,2024-09-18,2024-09-24,2024-11-09,2024-11-06,33.7,Development (Backend),5,Medium,,,2025-07-06,T-00069,ASS-011
T-00106,T-00104,Internal Tool Development - Automation Suite,Review Ad Copy - T-00106,To Do,0.0,2024-11-16,2024-11-16,2024-12-19,,0.0,Legal & Compliance Review,5,High,,,2025-07-01,,ASS-005
T-00107,T-00104,Holiday Marketing Campaign - Social Media Focus,Build UI Component - T-00107,To Do,0.0,2025-02-23,2025-03-02,,,0.0,Development (Frontend),3,Critical,,,2025-06-26,,ASS-007
T-00108,T-00101,Holiday Marketing Campaign - Social Media Focus,Dashboard Build - T-00108,Review,100.0,2024-07-29,2024-08-04,2024-09-05,2024-09-06,17.6,Analytics & Reporting,2,Medium,,,2025-07-04,,ASS-002
T-00109,T-00108,Q3 Product Feature Launch - AI Integration,Campaign Launch - T-00109,in progress,,2024-09-18,2024-09-22,2024-11-18,,24.6,Marketing & Promotion,3,medium,,,2025-07-07,,ASS-006
T-00110,T-00108,Q3 Product Feature Launch - AI Integration,Integrate API - T-00110,Blocked,0.4,2024-11-04,2024-11-11,2025-02-07,,10.0,Development (Frontend),2,Medium,,,2025-06-23,,ASS-003
T-00111,T-00108,Internal Tool Development - Automation Suite,Compliance Check - T-00111,REVIEW,100.0,2024-08-10,2024-08-16,2024-09-29,,30.7,Legal & Compliance Review,1,High,,,2025-06-29,,ASS-004
T-00112,T-00108,Website Redesign - User Experience Overhaul,User Testing - T-00112,Review,100.0,2024-12-01,2024-12-07,2025-01-07,2025-01-03,19.5,Design & UX,5,Medium,,Passed,2025-06-23,,ASS-001
T-00113,T-00101,Holiday Marketing Campaign - Social Media Focus,Performance Tracking - T-00113,Blocked,70.8,2024-10-05,2024-10-05,2024-11-17,,8.4,Marketing & Promotion,5,High,,,2025-07-06,T-00053,ASS-002
T-00114,T-00113,Website Redesign - User Experience Overhaul,Social Media Post - T-00114,todo,0.0,2025-04-11,2025-04-12,2025-05-20,,0.0,Content Creation,2,CRITICAL,,,2025-06-27,T-00047,ASS-009
T-00115,T-00113,Customer Onboarding Flow Optimization,Post-Launch Monitoring Setup - T-00115,in progress,38.1,2025-03-02,2025-03-05,2025-04-20,,24.8,Deployment & Release,3,Low,,,2025-06-25,T-00085,ASS-005
T-00116,T-00113,Customer Onboarding Flow Optimization,Mockup Design - T-00116,Completed,100.0,2025-04-16,2025-04-22,2025-05-20,2025-05-22,24.3,Design & UX,1,Critical,,,2025-07-03,,ASS-006
T-00117,T-00113,Holiday Marketing Campaign - Social Media Focus,Ad Spend Optimization - T-00117,blocked!,75.1,2024-09-11,2024-09-11,,,,Marketing & Promotion,1,high,,,2025-06-23,,ASS-012
T-00118,,Website Redesign - User Experience Overhaul,Unit Testing - T-00118,in progress,71.2,2024-12-28,2024-12-29,2025-02-19,,10.3,QA & Testing,1,Low,,,2025-06-23,,ASS-002
T-00119,T-00118,Holiday Marketing Campaign - Social Media Focus,Market Research - T-00119,Blocked,36.3,2025-03-04,2025-03-07,2025-04-25,,0.2,Strategy & Planning,1,Low,Technical Bug Found,,2025-06-28,,ASS-006
T-00120,T-00119,Holiday Marketing Campaign - Social Media Focus,UAT Coordination - T-00120,To Do,0.0,2024-12-12,2024-12-17,2025-01-19,,0.0,QA & Testing,5,CRITICAL,,,2025-06-25,T-00057,ASS-006
T-00121,,Internal Tool Development - Automation Suite,Budget Allocation - T-00121,Review,100.0,2025-04-05,2025-04-08,,2025-05-02,11.4,Strategy & Planning,2,Critical,,,2025-06-30,,ASS-010
T-00122,T-00121,Internal Tool Development - Automation Suite,Training Material - T-00122,Blocked,62.3,2025-02-15,2025-02-22,2025-04-19,,3.4,Customer Support Prep,4,Low,,,2025-06-24,,ASS-003
T-00123,T-00122,Q3 Product Feature Launch - AI Integration,Release Plan - T-00123,Blocked,12.2,2025-02-05,2025-02-06,2025-03-10,,,Deployment & Release,3,High,Technical Bug Found,,2025-06-28,,ASS-005
T-00124,T-00122,Holiday Marketing Campaign - Social Media Focus,User Testing - T-00124,REVIEW,100.0,2024-08-07,2024-08-08,2024-09-23,,9.2,Design & UX,1,Critical,,,2025-06-23,,ASS-006
T-00125,T-00122,Customer Onboarding Flow Optimization,Release Plan - T-00125,Blocked,18.1,2025-04-15,2025-04-15,2025-05-07,,14.8,Deployment & Release,1,Critical,,,2025-07-05,T-00011,ASS-005
T-00126,T-00122,Customer Onboarding Flow Optimization,Compliance Check - T-00126,Review,100.0,2025-03-17,2025-03-24,2025-05-18,2025-05-28,17.1,Legal & Compliance Review,2,Critical,,Minor Rework,2025-06-25,,ASS-009
T-00127,,Website Redesign - User Experience Overhaul,Performance Tracking - T-00127,To Do,,2024-10-31,2024-11-06,2025-01-03,,0.0,Marketing & Promotion,1,Medium,,,2025-06-30,,ASS-007
T-00128,,Customer Onboarding Flow Optimization,Define Objectives - T-00128,To Do,0.0,2025-04-18,2025-04-19,2025-06-06,,0.0,Strategy & Planning,1,Medium,,,2025-06-30,,ASS-002
T-00129,,Holiday Marketing Campaign - Social Media Focus,API Endpoint Creation - T-00129,Review,100.0,2024-12-23,2024-12-29,2025-01-13,2025-01-22,11.5,Development (Backend),2,High,,,2025-07-06,,ASS-005
T-00130,,Q3 Product Feature Launch - AI Integration,Integration Testing - T-00130,Review,100.0,2025-01-11,2025-01-17,2025-03-09,2025-03-06,,QA & Testing,2,High,,Minor Rework,2025-06-26,,ASS-006
